Coluna;Tipo Original;PK;FK;CONST;Descrição;Observações
AppID;int;Sim;Não;NOT NULL;Identificador único do jogo;Chave primária
Name;string;Não;Não;NOT NULL;Nome do jogo;Pode conter caracteres especiais
Release date;string;Não;Não;NOT NULL;Data de lançamento;Formato variável, precisa conversão para DATE
Estimated owners;string;Não;Não;NULL;Estimativa de quem adquiriu o jogo;Valor que quebra a regra de atomicidade. Aplicar 1FN
Peak CCU;int;Não;Não;NOT NULL;Pico de usuário simultâneos;Valor que não pode ser  null, pois seu default é 0
Required age;int;Não;Não;NOT NULL;Idade requerida;Valor que não pode ser  null, pois seu default é 0
Price;int;Não;Não;NOT NULL;Preço do jogo;Valor que não pode ser  null, pois seu default é 0
DLC count;int;Não;Não;NOT NULL;Número de DLC;Valor que não pode ser  null, pois seu default é 0
About the game;string;Não;Não;NULL;Texto sobre o jogo;Pode ser NULL
Supported languages;vector;Não;Não;NULL;Um vetor contendo os idiomas textuais;Importante ser normalizado: coluna multivalorada
Full audio languages;vector;Não;Não;NULL;Um vetor contendo os idiomas dublados;Importante ser normalizado: coluna multivalorada
Reviews;string;Não;Não;NULL;Texto podendo conter varias revisões;Importante ser normalizado: coluna multivalorada
Header image;string;Não;Não;NOT NULL;URL da imagem principal do jogo;Sem observações
Website;string;Não;Não;NULL;Site do jogo;Pode ser NULL
Support url;string;Não;Não;NULL;Site para suporte ao jogador;Pode ser NULL
Support email;string;Não;Não;NULL;Email do dev ou publicadora do jogo;Pode ser NULL
Windows;boolean;Não;Não;NULL;Campo true ou false;Análisar se necessário normalização
Mac;boolean;Não;Não;NULL;Campo true ou false;Análisar se necessário normalização
Linux;boolean;Não;Não;NULL;Campo true ou false;Análisar se necessário normalização
Metacritic score;int;Não;Não;NOT NULL;Valor da crítica;Valor que não pode ser  null, pois seu default é 0
Metacritic url;string;Não;Não;NULL;Site da crítica;Pode ser NULL
User score;int;Não;Não;NOT NULL;Valor da crítica do usuários;Valor que não pode ser  null, pois seu default é 0
Positive;int;Não;Não;NOT NULL;Quantidade de avaliações positivas;Pode ser usada para métricas
Negative;int;Não;Não;NOT NULL;Quantidade de avaliações positivas;Pode ser usada para métricas
Score rank;string;Não;Não;NULL;Rank de avaliações;Muitos valores nulos nos dados, talvez caiba deletar
Achievements;int;Não;Não;NOT NULL;Quantidade de conquistas;Valor que não pode ser  null, pois seu default é 0
Recommendations;int;Não;Não;NOT NULL;Quantidade de recomendações;Valor que não pode ser  null, pois seu default é 0
Notes;string;Não;Não;NULL;Observações sobre o conteúdo do jogo;Pode ser NULL
Average playtime forever;int;Não;Não;NOT NULL;Média de tempo de jogo total;Valor que não pode ser  null, pois seu default é 0
Average playtime two weeks;int;Não;Não;NOT NULL;Média de tempo de jogo apenas dos últimos 14 dias;Valor que não pode ser  null, pois seu default é 0
Median playtime forever;int;Não;Não;NOT NULL;Mediana do tempo total jogado;Valor que não pode ser  null, pois seu default é 0
Median playtime two weeks;int;Não;Não;NOT NULL;Mediana do tempo jogado nas últimas 2 semanas.;Valor que não pode ser  null, pois seu default é 0
Developers;vector;Não;Não;NOT NULL;Desenvolvedor do jogo;Pode haver múltiplos valores
Publishers;vector;Não;Não;NOT NULL;Publicadora do jogo;Pode haver múltiplos valores
Categories;vector;Não;Não;NOT NULL;Categorias do jogo;Lista separada por vírgula, precisa normalização
Genres;vector;Não;Não;NOT NULL;Gêneros do jogo;Lista separada por vírgula, precisa normalização
Tags;string;Não;Não;NOT NULL;Tags associadas ao jogo;Lista separada por vírgula, precisa normalização
Screenshots;vector;Não;Não;NULL;Um vetor  contendo as URL das imagens do jogo;Importante ser normalizado: coluna multivalorada
Movies;vector;Não;Não;NULL;Um vetor contendo as URL dos trailers do jogo;Importante ser normalizado: coluna multivalorada
